Table,Condition,Frequency
kt,kt.kind IN ('movie'),1
kt,"kt.kind IN ('tv series','episode')",2
kt,kt.kind IN ('tv series'),2
,,
lt,lt.link = 'features',1
lt,"lt.link IN ('references','referenced in','features','featured in')",1
lt,"lt.link IN ('sequel','follows','followed by')",1
lt,lt.link LIKE '%follow%',5
lt,lt.link LIKE '%follows%',1
,,
mc,mc.note IS NOT NULL,2
mc,mc.note IS NULL,5
mc,mc.note LIKE '%(1994)%',1
mc,mc.note LIKE '%(200%)%',2
mc,mc.note LIKE '%(200%)%' AND (mc.note LIKE '%(USA)%' OR mc.note LIKE '%(worldwide)%'),2
mc,mc.note LIKE '%(200%)%' AND mc.note LIKE '%(worldwide)%',1
mc,mc.note LIKE '%(Blu-ray)%',1
mc,mc.note LIKE '%(co-production)%',1
mc,mc.note LIKE '%(Japan)%' AND mc.note NOT LIKE '%(USA)%' AND (mc.note LIKE '%(2006)%' OR mc.note LIKE '%(2007)%'),1
mc,mc.note LIKE '%(USA)%',2
mc,mc.note LIKE '%(VHS)%',1
mc,mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%',3
mc,mc.note NOT LIKE '%(TV)%',1
mc,mc.note NOT LIKE '%(USA)%',2
mc,mc.note NOT LIKE '%(USA)%' AND mc.note LIKE '%(200%)%',2
,,
mi_idx,mi_idx.info < '3.0',1
mi_idx,mi_idx.info < '3.5',1
mi_idx,mi_idx.info < '7.0',1
mi_idx,mi_idx.info < '8.5',4
mi_idx,mi_idx.info > '2.0',1
mi_idx,mi_idx.info > '6.0',1
mi_idx,mi_idx.info > '6.5',1
mi_idx,mi_idx.info > '7.0',1
mi_idx,mi_idx.info > '8.0',2
mi_idx,mi_idx.info > '9.0',1
,,
mi,mi.info = 'Horror',1
mi,mi.info IN ('Bulgaria'),1
mi,"mi.info IN ('Drama','Horror','Western','Family')",1
mi,"mi.info IN ('Germany', 'German')",1
mi,"mi.info IN ('Germany','German','USA','American')",1
mi,"mi.info IN ('Horror', 'Thriller') AND mi.note IS NULL",1
mi,"mi.info IN ('Horror','Action','Sci-Fi','Thriller','Crime','War')",4
mi,"mi.info IN ('Horror','Thriller')",2
mi,"mi.info IN ('Sweden','Germany','Swedish','German')",2
mi,"mi.info IN ('Sweden','Norway', 'Germany', 'Denmark', 'Swedish', 'Denish', 'Norwegian', 'German', 'USA', 'American')",1
mi,"mi.info IN ('Sweden','Norway','Germany','Denmark','Swedish','Danish','Norwegian','German','USA','American')",4
mi,"mi.info IN ('Sweden','Norway','Germany','Denmark','Swedish','Denish','Norwegian','German','English')",2
mi,"mi.info IN ('Sweden','Norway','Germany','Denmark','Swedish','Denish','Norwegian','German','USA','American')",2
mi,"mi.info IN ('USA','America')",1
mi,mi.info IS NOT NULL AND (mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'USA:% 200%'),1
mi,mi.info IS NOT NULL AND (mi.info LIKE 'Japan:%200%' OR mi.info LIKE 'USA:%200%'),2
mi,mi.info IS NOT NULL AND (mi.info LIKE 'Japan:%2007%' OR mi.info LIKE 'USA:%2008%'),1
mi,mi.info LIKE 'USA:% 200%',1
mi,mi.info LIKE 'USA:%200%',1
mi,mi.note LIKE '%internet%',3
mi,mi.note LIKE '%internet%' AND mi.info IS NOT NULL AND (mi.info LIKE 'USA:% 199%' OR mi.info LIKE 'USA:% 200%'),1
mi,mi.note LIKE '%internet%' AND mi.info LIKE 'USA:% 200%',1
,,
n,n.gender = 'f',2
n,n.gender = 'f' AND n.name LIKE '%An%',2
n,n.gender = 'f' and n.name LIKE '%An%',2
n,n.gender = 'f' AND n.name LIKE '%Angel%',2
n,n.gender = 'm',6
n,n.gender IS NOT NULL AND n.gender = 'f',1
n,n.gender= 'm',1
n,n.name LIKE '%B%',1
n,n.name LIKE '%Bert%',1
n,n.name LIKE '%Downey%Robert%',5
n,n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%',1
n,n.name LIKE 'X%',1
n,n.name LIKE 'Z%',1
n,n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender= 'm' OR (n.gender = 'f' AND n.name LIKE 'A%')),1
n,n.name_pcode_cf LIKE 'D%',1
,,
pi,pi.note = 'Volker Boehm',1
pi,pi.note IS NOT NULL,1
,,
rt,rt.role = 'actor',1
rt,rt.role = 'actress',9
rt,rt.role = 'costume designer',1
rt,rt.role = 'writer',1
,,
t,t.episode_nr < 100,1
t,t.episode_nr >= 5 AND t.episode_nr < 100,1
t,t.production_year = 1998,1
t,t.production_year = 1998 AND t.title LIKE '%Money%',1
t,t.production_year > 1950,2
t,t.production_year > 1990,7
t,t.production_year > 2000,9
t,t.production_year > 2000 AND (t.title LIKE '%Freddy%' OR t.title LIKE '%Jason%' OR t.title LIKE 'Saw%'),2
t,t.production_year > 2005,6
t,t.production_year > 2009,1
t,t.production_year > 2010,5
t,t.production_year > 2010 AND (t.title LIKE '%murder%' OR t.title LIKE '%Murder%' OR t.title LIKE '%Mord%'),1
t,t.production_year > 2014,1
t,t.production_year >2000,1
t,t.production_year >2000 AND (t.title LIKE 'Birdemic%' OR t.title LIKE '%Movie%'),1
t,t.production_year >2010,1
t,t.production_year BETWEEN 1950 AND 2010,2
t,t.production_year BETWEEN 1980 AND 1984,1
t,t.production_year BETWEEN 1980 AND 2010,1
t,t.production_year BETWEEN 2000 AND 2010,4
t,t.production_year BETWEEN 2005 AND 2010,2
t,t.production_year BETWEEN 2006 AND 2007 AND (t.title LIKE 'One Piece%' OR t.title LIKE 'Dragon Ball Z%'),1
t,t.production_year BETWEEN 2007 AND 2008 AND t.title LIKE '%Kung%Fu%Panda%',1
t,t.production_year BETWEEN 2007 AND 2010,1
t,t.production_year BETWEEN 2008 AND 2014,1
t,t.title != '' AND (t.title LIKE '%Champion%' OR t.title LIKE '%Loser%'),1
t,t.title != '' AND (t.title LIKE 'Champion%' OR t.title LIKE 'Loser%'),1
t,t.title = 'Shrek 2' AND t.production_year BETWEEN 2000 AND 2005,1
t,t.title LIKE 'Vampire%',1
